127.0.0.1 - - [21/Feb/2022:14:47:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /boardMVC/app/member/join.jsp HTTP/1.1" 200 8441
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /images/join01.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/css/main.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/jquery.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/browser.min.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/breakpoints.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/main.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /images/ex01.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/util.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /images/ex03.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/jquery.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/browser.min.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/breakpoints.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/util.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:47:55 +0900] "GET /assets/js/main.js HTTP/1.1" 404 832
